title,location,country,city,stars,rating,ratings_no,date,duration,airport,food,price,old_price
Paras Sun,Wypoczynek Grecja: Rodos,Grecja, Rodos,2.0,4.5,188,12.05.2023,8,Warszawa Chopin,Śniadania,1500.0,
Anaxos Bay,Wypoczynek Grecja: Lesbos,Grecja, Lesbos,2.0,5.0,11,30.08.2023,8,Katowice,Bez wyżywienia,1558.0,
Elena Studios,Wypoczynek Grecja: Lesbos,Grecja, Lesbos,2.0,4.9,25,30.08.2023,8,Katowice,Bez wyżywienia,1635.0,
Studia Maria,Wypoczynek Grecja: Kokkino Nero,Grecja, Kokkino Nero,2.5,5.2,71,31.05.2023,8,Wrocław,Bez wyżywienia,1766.0,
Apartamenty Omiś,Wypoczynek Chorwacja: Kastelanska Riwiera - Makarska Riwiera,Chorwacja, Kastelanska Riwiera - Makarska Riwiera,2.5,3.7,12,22.06.2023,8,Katowice,Bez wyżywienia,1779.0,
Katerina Studio,Wypoczynek Grecja: Zakynthos,Grecja, Zakynthos,2.0,4.2,49,13.06.2023,8,Łódź,Bez wyżywienia,1787.0,
Monte Carlo Vlora,Wypoczynek Albania: Vlora,Albania, Vlora,3.0,,0,02.06.2023,4,Poznań,Śniadania i obiadokolacje,1789.0,
Nikos Studios,Wypoczynek Grecja: Lesbos,Grecja, Lesbos,2.0,4.9,22,20.09.2023,8,Katowice,Bez wyżywienia,1803.0,
Angelina,Wypoczynek Grecja: Korfu,Grecja, Korfu,3.0,4.7,113,06.05.2023,8,Warszawa Chopin,Śniadania,1810.0,
Armonia Studios,Wypoczynek Grecja: Lesbos,Grecja, Lesbos,2.0,5.0,31,20.09.2023,8,Katowice,Bez wyżywienia,1829.0,
Chrysoula Studios,Wypoczynek Grecja: Lesbos,Grecja, Lesbos,2.0,5.0,40,20.09.2023,8,Katowice,Bez wyżywienia,1832.0,
Alex Studios,Wypoczynek Grecja: Zakynthos,Grecja, Zakynthos,2.5,5.0,94,02.06.2023,8,Katowice,Bez wyżywienia,1842.0,
Villa Sofija,Wypoczynek Chorwacja: Kastelanska Riwiera,Chorwacja, Kastelanska Riwiera,3.0,4.8,23,22.06.2023,8,Katowice,Bez wyżywienia,1845.0,
Grand Blue Villa Michaela,Wypoczynek Grecja: Lesbos,Grecja, Lesbos,2.0,5.6,5,30.08.2023,8,Katowice,Bez wyżywienia,1854.0,
Villa Penava,Wypoczynek Chorwacja: Kastelanska Riwiera,Chorwacja, Kastelanska Riwiera,3.0,4.5,85,14.09.2023,8,Katowice,Bez wyżywienia,1867.0,
Studia Andreas,Wypoczynek Grecja: Kokkino Nero,Grecja, Kokkino Nero,2.5,5.1,53,14.06.2023,8,Katowice,Bez wyżywienia,1869.0,
Welcome to London,Objazd Wielka Brytania: Anglia,Wielka Brytania, Anglia,,4.7,46,06.07.2023,4,Gdańsk,Śniadania,1871.0,
Golden Line,Wypoczynek Bułgaria: Złote Piaski,Bułgaria, Złote Piaski,4.0,,0,06.06.2023,8,Warszawa Chopin,Śniadania,1879.0,
Prime Studios,Wypoczynek Grecja: Lesbos,Grecja, Lesbos,2.0,5.2,42,02.08.2023,8,Katowice,Bez wyżywienia,1880.0,
Belvedere Alexandria Club,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,5.0,,0,05.09.2023,4,Warszawa Chopin,All inclusive,1880.0,
Lakis Studios,Wypoczynek Grecja: Lesbos,Grecja, Lesbos,2.0,5.7,16,30.08.2023,8,Katowice,Bez wyżywienia,1881.0,
Amfibia,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,3.0,,0,06.06.2023,8,Warszawa Chopin,Śniadania,1892.0,
Rafael Studios,Wypoczynek Grecja: Lesbos,Grecja, Lesbos,2.0,5.5,19,21.06.2023,8,Katowice,Bez wyżywienia,1899.0,
Jeravi Beach,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,4.0,,0,05.09.2023,4,Warszawa Chopin,All inclusive,1900.0,
Primorsko Del Sol,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,4.5,4.3,164,16.06.2023,5,Warszawa Chopin,All inclusive,1900.0,
En Armonia,Wypoczynek Grecja: Zakynthos,Grecja, Zakynthos,3.0,5.3,113,06.06.2023,8,Łódź,Śniadania,1903.0,
Zenith (ex. Marlin Beach),Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,4.0,,0,22.08.2023,4,Warszawa Chopin,All inclusive,1910.0,
Hermes Alexandria Club,Wypoczynek Bułgaria: Słoneczny Brzeg - Carewo,Bułgaria, Słoneczny Brzeg - Carewo,4.0,,0,29.08.2023,4,Poznań,Ultra All Inclusive,1915.0,
Rean Hotel,Wypoczynek Albania: Durres,Albania, Durres,4.0,,0,16.06.2023,4,Poznań,All inclusive,1920.0,
Kalypso,Wypoczynek Grecja: Kokkino Nero,Grecja, Kokkino Nero,3.0,5.2,47,07.06.2023,8,Katowice,Bez wyżywienia,1921.0,
Flamingo Beach (ex. Avliga Beach),Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,3.5,5.0,61,23.06.2023,5,Warszawa Chopin,Śniadania i obiadokolacje,1929.0,
Detelina,Wypoczynek Bułgaria: Złote Piaski,Bułgaria, Złote Piaski,3.0,4.2,68,06.06.2023,8,Warszawa Chopin,All inclusive,1929.0,
Apartamenty Palace Budva,Wypoczynek Czarnogóra: Budva,Czarnogóra, Budva,3.5,5.5,28,11.05.2023,8,Warszawa Chopin,Bez wyżywienia,1930.0,
Kriss Hotel,Wypoczynek Turcja: Riwiera Egejska,Turcja, Riwiera Egejska,3.0,4.8,73,07.05.2023,8,Warszawa Chopin,All inclusive,1950.0,
Dias Apartments,Wypoczynek Grecja: Riwiera Olimpijska,Grecja, Riwiera Olimpijska,3.0,5.7,40,14.06.2023,8,Katowice,Bez wyżywienia,1966.0,
Sempati,Wypoczynek Cypr Północny: Kyrenia,Cypr Północny, Kyrenia,3.0,4.8,31,13.05.2023,8,Katowice,Śniadania,1969.0,
Alaiye Kleopatra,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,4.0,5.5,2,02.12.2023,8,Katowice,Śniadania i obiadokolacje,1973.0,2473.0
MonteCarlo Lungomare,Wypoczynek Albania: Vlora,Albania, Vlora,4.0,,0,16.06.2023,4,Poznań,All inclusive,1988.0,
Aparthotel Jason,Wypoczynek Grecja: Riwiera Olimpijska,Grecja, Riwiera Olimpijska,3.0,5.3,135,31.05.2023,8,Wrocław,Bez wyżywienia,1994.0,
Georgina Inn,Wypoczynek Grecja: Zakynthos,Grecja, Zakynthos,3.0,,0,05.05.2023,8,Katowice,All inclusive,1999.0,
Kleopatra Atlas,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,4.0,6.0,1,09.12.2023,8,Katowice,All inclusive,2013.0,2513.0
Saint George,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,3.5,4.1,19,29.08.2023,4,Poznań,All inclusive,2037.0,
Zefir,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,3.0,5.0,13,06.06.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,2042.0,
Gardenia Hotel,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,4.0,,0,02.12.2023,8,Katowice,Śniadania i obiadokolacje,2043.0,2543.0
Vincci Dar Midoun,Wypoczynek Tunezja: Djerba,Tunezja, Djerba,4.0,5.2,18,07.12.2023,8,Katowice,All inclusive,2068.0,2468.0
Melissa,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,3.0,4.8,97,13.05.2023,8,Wrocław,All inclusive,2069.0,
Djerba Resort (ex. Vincci Djerba Resort),Wypoczynek Tunezja: Djerba,Tunezja, Djerba,4.0,5.3,28,14.12.2023,8,Katowice,All inclusive,2075.0,2475.0
Calypso,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,3.5,5.2,93,05.09.2023,4,Warszawa Chopin,All inclusive,2080.0,
Mari Evans Apartments,Wypoczynek Grecja: Kreta - Heraklion,Grecja, Kreta - Heraklion,3.0,5.1,58,28.06.2023,8,Warszawa Chopin,Bez wyżywienia,2080.0,
Djerba Castille,Wypoczynek Tunezja: Djerba,Tunezja, Djerba,4.0,4.7,20,14.12.2023,8,Katowice,All inclusive,2080.0,2480.0
Vincci Helios Beach,Wypoczynek Tunezja: Djerba,Tunezja, Djerba,4.0,5.6,19,14.12.2023,8,Katowice,All inclusive,2113.0,2513.0
Marabout,Wypoczynek Tunezja: Susa,Tunezja, Susa,3.0,4.0,153,15.06.2023,4,Wrocław,All inclusive,2122.0,
Riviera Hotel and Spa,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,4.0,5.2,8,09.12.2023,8,Katowice,Śniadania i obiadokolacje,2128.0,2628.0
Dassia Holiday Club,Wypoczynek Grecja: Korfu,Grecja, Korfu,3.0,4.9,138,06.05.2023,8,Warszawa Chopin,All inclusive,2129.0,
Hotel Vlora International,Wypoczynek Albania: Vlora,Albania, Vlora,4.0,3.7,21,19.06.2023,8,Wrocław,Śniadania,2135.0,
Kraal Hotel,Wypoczynek Albania: Vlora,Albania, Vlora,4.0,5.0,1,09.06.2023,8,Poznań,Śniadania,2137.0,
Xenonas,Wypoczynek Grecja: Kokkino Nero,Grecja, Kokkino Nero,3.0,5.7,112,20.05.2023,8,Warszawa Chopin,Bez wyżywienia,2150.0,
Hacienda Beach,Wypoczynek Bułgaria: Słoneczny Brzeg - Sozopol,Bułgaria, Słoneczny Brzeg - Sozopol,4.0,4.3,204,23.06.2023,5,Warszawa Chopin,All inclusive,2151.0,
Azurro,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,3.0,,0,06.06.2023,8,Warszawa Chopin,All inclusive,2151.0,
Katerina Studio,Wypoczynek Grecja: Zakynthos,Grecja, Zakynthos,2.0,4.2,49,26.09.2023,4,Katowice,Bez wyżywienia,2153.0,
Kremasti Memories,Wypoczynek Grecja: Rodos,Grecja, Rodos,2.0,4.5,1,12.06.2023,8,Wrocław,Bez wyżywienia,2160.0,
Golf Residence,Wypoczynek Tunezja: Susa,Tunezja, Susa,4.0,4.8,35,11.05.2023,8,Katowice,Śniadania i obiadokolacje,2166.0,
Golf Residence,Wypoczynek Tunezja: Susa,Tunezja, Susa,4.0,4.8,35,15.06.2023,4,Wrocław,Śniadania i obiadokolacje,2171.0,
Mel Holidays,Wypoczynek Albania: Durres,Albania, Durres,4.0,5.1,47,02.06.2023,4,Poznań,All inclusive,2176.0,
DAS Club hotel Sunny Beach,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,4.0,4.9,20,05.09.2023,4,Warszawa Chopin,All inclusive,2179.0,
Studia Katerina,Wypoczynek Grecja: Kokkino Nero,Grecja, Kokkino Nero,3.0,4.7,95,13.05.2023,8,Warszawa Chopin,Bez wyżywienia,2179.0,
Thalassa Mahdia Aqua Park,Wypoczynek Tunezja: Al Mahdijja,Tunezja, Al Mahdijja,4.0,5.1,5,04.05.2023,8,Katowice,All inclusive,2180.0,
Monte Carlo Vlora,Wypoczynek Albania: Vlora,Albania, Vlora,3.0,,0,02.06.2023,8,Poznań,Śniadania i obiadokolacje,2180.0,
Villa Primafila,Wypoczynek Czarnogóra: Ulcinj,Czarnogóra, Ulcinj,3.0,4.9,135,11.05.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,2180.0,
Casa Durres,Wypoczynek Albania: Durres,Albania, Durres,3.0,5.3,35,22.09.2023,4,Katowice,All inclusive,2182.0,
Houda Golf & Aqua Park Monastir,Wypoczynek Tunezja: Monastyr,Tunezja, Monastyr,3.0,,0,22.06.2023,8,Katowice,All inclusive,2184.0,
Riviera,Wypoczynek Tunezja: Susa,Tunezja, Susa,4.0,4.6,159,07.05.2023,8,Katowice,All inclusive,2186.0,
AMC Royal Resort (ex. AMC Azur Resort),Wypoczynek Egipt: Hurghada,Egipt, Hurghada,5.0,3.9,10,17.12.2023,5,Katowice,All inclusive,2188.0,2538.0
Djerba Aqua Resort (ex. Sun Connect Aqua Resort),Wypoczynek Tunezja: Djerba,Tunezja, Djerba,4.0,4.5,37,14.12.2023,8,Katowice,All inclusive,2190.0,2590.0
Royal Park,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,4.0,3.8,215,20.06.2023,4,Warszawa Chopin,All inclusive,2201.0,
Zante Pantheon Hotel,Wypoczynek Grecja: Zakynthos,Grecja, Zakynthos,3.0,5.5,1,05.05.2023,8,Katowice,Śniadania,2206.0,
Apartamenty Makarska,Wypoczynek Chorwacja: Makarska Riwiera,Chorwacja, Makarska Riwiera,3.0,4.4,7,25.05.2023,8,Katowice,Bez wyżywienia,2208.0,
Calimera Yati Beach,Wypoczynek Tunezja: Djerba,Tunezja, Djerba,4.0,5.0,29,14.12.2023,8,Katowice,All inclusive,2209.0,2609.0
Mirabelle Hotel,Wypoczynek Grecja: Zakynthos,Grecja, Zakynthos,3.0,,0,13.06.2023,8,Łódź,Bez wyżywienia,2225.0,
Palmin Hotel,Wypoczynek Turcja: Riwiera Egejska,Turcja, Riwiera Egejska,4.0,5.6,4,07.05.2023,8,Warszawa Chopin,All inclusive,2229.0,
Smartline Meridian Hotel,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,4.0,5.0,1,06.06.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,2229.0,
Nostos,Wypoczynek Grecja: Chalkidiki,Grecja, Chalkidiki,3.5,5.5,75,06.05.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,2230.0,
Cesar Thalasso & Convention,Wypoczynek Tunezja: Djerba,Tunezja, Djerba,4.0,,0,14.12.2023,8,Katowice,All inclusive,2247.0,2647.0
Harry Potter i magia Londynu,Objazd Wielka Brytania: Anglia,Wielka Brytania, Anglia,,4.9,35,16.11.2023,4,Katowice,Śniadania,2247.0,2447.0
Kleopatra Micador,Wypoczynek Turcja,Turcja,,4.0,4.6,40,10.05.2023,8,Katowice,All inclusive,2248.0,
Dragut South,Wypoczynek Turcja: Riwiera Egejska,Turcja, Riwiera Egejska,4.0,5.2,10,07.05.2023,8,Warszawa Chopin,All inclusive,2251.0,
Alex Studios,Wypoczynek Grecja: Zakynthos,Grecja, Zakynthos,2.5,5.0,94,26.09.2023,4,Katowice,Bez wyżywienia,2255.0,
Golden Sands,Wypoczynek Grecja: Korfu,Grecja, Korfu,3.0,4.7,226,27.05.2023,8,Warszawa Chopin,All inclusive,2261.0,
Apartamenty Mediterranea,Wypoczynek Grecja: Kreta - Chania,Grecja, Kreta - Chania,2.0,5.6,95,28.06.2023,8,Poznań,Bez wyżywienia,2269.0,
Riadh Palms,Wypoczynek Tunezja: Susa,Tunezja, Susa,4.0,4.6,111,15.06.2023,4,Wrocław,All inclusive,2272.0,
En Armonia,Wypoczynek Grecja: Zakynthos,Grecja, Zakynthos,3.0,5.3,113,03.10.2023,4,Katowice,Śniadania,2279.0,
Mandarin Resort,Wypoczynek Turcja: Riwiera Egejska,Turcja, Riwiera Egejska,5.0,5.0,24,07.05.2023,8,Warszawa Chopin,All inclusive,2279.0,
Marabout,Wypoczynek Tunezja: Susa,Tunezja, Susa,3.0,4.0,153,22.06.2023,8,Katowice,All inclusive,2283.0,
Mikelis,Wypoczynek Grecja: Korfu,Grecja, Korfu,3.0,5.2,122,10.06.2023,8,Katowice,Bez wyżywienia,2289.0,
Side Lowe Hotel,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,3.0,5.4,8,06.05.2023,8,Wrocław,All inclusive,2290.0,
